Description,Value,Footprint,LCSC Part #,Quantity,Notes
Microcontroller,RP2040,QFN-56,C2040,1,Main MCU
QSPI Flash,W25Q16JV,SOIC-8,C97521,1,External flash
LDO Regulator,MCP1700-3302,SOT-23,C62354,1,3.3V regulator
Crystal,12MHz,3225,C9002,1,Main clock
LED,Red 0603,0603,C2286,2,"Power indicator, and GPIO25"
Resistor,1kΩ,0402,C21190,2,LED current limit
Resistor,27Ω,0402,C21190,2,USB D+/D-
Resistor,5.1KΩ,0402,C21190,2,CC pull down
Ceramic Capacitor,100nF,0402,C14663,11,Decoupling
Ceramic Capacitor,10uF,0603,C19702,2,Bulk filtering
Ceramic Capacitor,1uF,0402,C15849,2,Core regulator
Ceramic Capacitor,33pF,0402,C1562,2,crystal filtering
Push Button,SW_Push,SW_Push_SPST_NO_Alps_SKRK,C341730,1,Bootloader
Diod,1N4148WT,D_SOD-123,C78089,2,Reverse protection
USB_C receptacle,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1,USB connection
