Designator,Mid X,Mid Y,Rotation,Layer
C1,51.9,-71.08,90.0,top
C10,47.3,-69.9,90.0,top
C11,49.1,-68.62,90.0,top
C12,49.5,-83.0,270.0,top
C13,43.2,-59.975,270.0,top
C14,44.425,-65.3,180.0,top
C15,42.6,-84.42,270.0,top
C16,48.5,-84.5,180.0,top
C17,47.3,-67.5,90.0,top
C2,50.8,-71.08,90.0,top
C3,50.9,-69.02,90.0,top
C4,53.0,-73.1,90.0,top
C5,53.9,-78.6,270.0,top
C6,48.5,-83.0,270.0,top
C7,42.0,-73.75,90.0,top
C8,41.7,-77.7,180.0,top
C9,52.0,-69.0,90.0,top
D1,45.3,-57.85,90.0,top
D2,47.25,-87.3,180.0,top
D3,42.6,-67.6,90.0,top
D4,52.5,-65.9125,270.0,top
J1,47.7,-49.6,180.0,top
J2,47.8,-90.85,0.0,top
J3,38.81,-72.6,0.0,top
J4,47.7,-96.49,90.0,top
J5,56.59,-72.6,0.0,top
R1,49.2,-56.49,270.0,top
R2,47.2,-56.59,270.0,top
R3,49.5,-71.19,270.0,top
R4,48.4,-71.19,270.0,top
R5,47.0,-82.1,0.0,top
R6,44.39,-66.8,180.0,top
R7,44.39,-68.1,180.0,top
R8,42.9,-62.89,270.0,top
R9,53.1,-68.75,90.0,top
SW1,51.2,-60.8,270.0,top
U1,47.7,-76.6,90.0,top
U2,45.3,-62.5375,270.0,top
U3,44.4,-70.7,0.0,top
Y1,45.4,-84.35,0.0,top
